idx,N,opt_cost,sol_cost_est,gap_percent,time_s,time_limit_s,loop_max,max_no_improve,k,top_k,perturb,perturb_interval,error
0,100,7.68771425883794,7.687714258837938,0.0,0.12071371078491211,10.0,,,,,,,
1,100,8.42171125554211,8.42171125554211,0.0,0.4088404178619385,10.0,,,,,,,
2,100,7.932177977255744,7.932177977255746,0.0,0.0298769474029541,10.0,,,,,,,
3,100,7.561385850620926,7.561385850620929,0.0,0.7117800712585449,10.0,,,,,,,
4,100,8.039041891411866,8.039041891411868,0.0,0.11769938468933105,10.0,,,,,,,
5,100,7.729080940975604,7.729080940975601,0.0,0.08977365493774414,10.0,,,,,,,
6,100,7.448029800005175,7.448029800005175,0.0,0.0480654239654541,10.0,,,,,,,
7,100,7.282976372922648,7.282976372922647,0.0,0.06140589714050293,10.0,,,,,,,
8,100,7.572886154350231,7.57288615435023,0.0,0.04907941818237305,10.0,,,,,,,
9,100,7.641729279764908,7.6417292797649115,0.0,0.10020971298217773,10.0,,,,,,,
10,100,7.6398982982375525,7.639898298237553,0.0,0.21409225463867188,10.0,,,,,,,
11,100,7.344471691663174,7.344471691663173,0.0,0.049024105072021484,10.0,,,,,,,
12,100,7.818692751086347,7.818692751086346,0.0,0.05003046989440918,10.0,,,,,,,
13,100,7.702289929346654,7.702289929346653,0.0,0.04133725166320801,10.0,,,,,,,
14,100,7.57775473204889,7.577754732048891,0.0,0.07427096366882324,10.0,,,,,,,
15,100,7.658484011186273,7.666572650524484,0.10561671639447333,0.3207836151123047,10.0,,,,,,,
16,100,7.860033952024719,7.86003395202472,0.0,0.15977787971496582,10.0,,,,,,,
17,100,7.424606329216049,7.424606329216049,0.0,0.15244269371032715,10.0,,,,,,,
18,100,8.044463418847316,8.044463418847318,0.0,0.06532645225524902,10.0,,,,,,,
19,100,7.958255285008137,7.958255285008139,0.0,0.08707046508789062,10.0,,,,,,,
20,100,7.72672135324206,7.726721353242063,0.0,0.06157398223876953,10.0,,,,,,,
21,100,7.571471349116092,7.57147134911609,0.0,0.10453462600708008,10.0,,,,,,,
22,100,7.766638935783451,7.766638935783448,0.0,0.09221363067626953,10.0,,,,,,,
23,100,7.803825380095805,7.803825380095806,0.0,0.04024529457092285,10.0,,,,,,,
24,100,7.758951622483159,7.758951622483158,0.0,0.4011528491973877,10.0,,,,,,,
25,100,7.364361701124892,7.364361701124892,0.0,0.12561273574829102,10.0,,,,,,,
26,100,8.05396194058715,8.053961940587152,0.0,0.05097198486328125,10.0,,,,,,,
27,100,7.885150144307851,7.885150144307853,0.0,0.28845906257629395,10.0,,,,,,,
28,100,7.958602295779249,7.958602295779246,0.0,0.08536720275878906,10.0,,,,,,,
29,100,8.14897072181612,8.14897072181612,0.0,0.1260974407196045,10.0,,,,,,,
30,100,7.386804827207458,7.386804827207458,0.0,0.3116018772125244,10.0,,,,,,,
31,100,7.905630981618968,7.90563098161897,0.0,0.0526270866394043,10.0,,,,,,,
32,100,8.002135138757758,8.002135138757762,0.0,0.0319364070892334,10.0,,,,,,,
33,100,7.7723132207032135,7.772313220703209,0.0,0.11602234840393066,10.0,,,,,,,
34,100,7.790163841332145,7.790163841332146,0.0,0.1377735137939453,10.0,,,,,,,
35,100,7.904173095566785,7.904173095566785,0.0,0.1129293441772461,10.0,,,,,,,
36,100,7.599118345232359,7.59911834523236,0.0,0.04643988609313965,10.0,,,,,,,
37,100,7.288200073712,7.288200073712001,0.0,0.05351066589355469,10.0,,,,,,,
38,100,7.634956024320582,7.634956024320581,0.0,0.018091201782226562,10.0,,,,,,,
39,100,7.854444814748222,7.856415437882061,0.025089273402741905,0.1312720775604248,10.0,,,,,,,
40,100,7.863401174494667,7.863401174494667,0.0,0.20655179023742676,10.0,,,,,,,
41,100,7.99815912518568,7.998159125185682,0.0,0.08615541458129883,10.0,,,,,,,
42,100,7.66230987899644,7.6623098789964414,0.0,0.18241238594055176,10.0,,,,,,,
43,100,7.431415073057343,7.431415073057339,0.0,0.04422879219055176,10.0,,,,,,,
44,100,7.987959485537303,7.987959485537302,0.0,0.20743370056152344,10.0,,,,,,,
45,100,7.990962832936504,7.990962832936504,0.0,0.16971898078918457,10.0,,,,,,,
46,100,8.041342640445011,8.04134264044501,0.0,0.3203573226928711,10.0,,,,,,,
47,100,7.868888091855036,7.868888091855034,0.0,0.16425371170043945,10.0,,,,,,,
48,100,7.854435807182125,7.854435807182126,0.0,0.07029461860656738,10.0,,,,,,,
49,100,7.808501122617056,7.808501122617056,0.0,0.06061720848083496,10.0,,,,,,,
50,100,8.078951327709929,8.078951327709936,0.0,0.272594690322876,10.0,,,,,,,
51,100,7.556817961400586,7.556817961400588,0.0,0.09621691703796387,10.0,,,,,,,
52,100,7.80166046970334,7.801660469703338,0.0,0.16845369338989258,10.0,,,,,,,
53,100,7.6411322171731,7.641132217173098,0.0,0.017392635345458984,10.0,,,,,,,
54,100,7.696177257543447,7.696177257543442,0.0,0.03143310546875,10.0,,,,,,,
55,100,7.96505913495729,7.965059134957289,0.0,0.1403346061706543,10.0,,,,,,,
56,100,7.589033567904092,7.5890335679040914,0.0,0.08095693588256836,10.0,,,,,,,
57,100,7.826702753954723,7.826702753954722,0.0,0.12400102615356445,10.0,,,,,,,
58,100,7.966003480386063,7.96600348038606,0.0,0.3067941665649414,10.0,,,,,,,
59,100,7.582060121118401,7.582060121118402,0.0,0.11205315589904785,10.0,,,,,,,
60,100,7.814936300008659,7.814936300008659,0.0,0.06435513496398926,10.0,,,,,,,
61,100,7.72806554719411,7.728065547194111,0.0,0.08155369758605957,10.0,,,,,,,
62,100,7.729945802903867,7.729945802903866,0.0,0.20982837677001953,10.0,,,,,,,
63,100,7.166806413603184,7.166806413603186,0.0,0.44487810134887695,10.0,,,,,,,
